 2026-04-26 11:00:00,798 | INFO | app.api.company_routes | all company requested 
 2026-04-26 11:00:44,167 | INFO | app.api.company_routes | all company requested 
2026-04-29 15:56:17,247 | INFO | app.main | <function uuid4 at 0x106f0c720> is started!! 
2026-04-29 15:56:17,248 | INFO | app.main | <function uuid4 at 0x106f0c720> is done 
2026-04-29 15:56:17,680 | INFO | app.main | <function uuid4 at 0x106f0c720> is started!! 
2026-04-29 15:56:17,708 | INFO | app.main | <function uuid4 at 0x106f0c720> is done 
2026-04-29 15:56:23,967 | INFO | app.main | <function uuid4 at 0x106f0c720> is started!! 
2026-04-29 15:56:23,969 | INFO | app.api.company_routes | all company requested 
2026-04-29 15:56:23,978 | INFO | app.main | <function uuid4 at 0x106f0c720> is done 
2026-04-29 15:56:55,409 | INFO | app.main | <function uuid4 at 0x106f0c720> is started!! 
2026-04-29 15:56:55,425 | INFO | app.main | <function uuid4 at 0x106f0c720> is done 
2026-04-29 16:00:11,567 | INFO | app.main | <function uuid4 at 0x1071ec720> is started!! 
2026-04-29 16:00:11,569 | INFO | app.api.company_routes | all company requested 
2026-04-29 16:00:11,576 | INFO | app.main | <function uuid4 at 0x1071ec720> is done 
2026-04-29 16:00:58,810 | INFO | app.main | <function uuid4 at 0x106fd8720> is started!! 
2026-04-29 16:00:58,813 | INFO | app.api.company_routes | all company requested 
2026-04-29 16:00:58,820 | INFO | app.main | <function uuid4 at 0x106fd8720> is done 
2026-04-29 16:01:27,225 | INFO | app.main | <function uuid4 at 0x10b1bc7c0> is started!! 
2026-04-29 16:01:27,227 | INFO | app.api.company_routes | all company requested 
2026-04-29 16:01:27,235 | INFO | app.main | <function uuid4 at 0x10b1bc7c0> is done 
2026-04-29 16:01:53,280 | INFO | app.main | <function uuid4 at 0x10b38c7c0> is started!! 
2026-04-29 16:01:53,280 | INFO | app.main | <function uuid4 at 0x10b38c7c0> is done 
2026-04-29 16:01:53,410 | INFO | app.main | <function uuid4 at 0x10b38c7c0> is started!! 
